Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968700,43.968700,43.750000,43.937500,27.234995,1003200
1993-02-01,43.968700,44.250000,43.968700,44.250000,27.428684,480500
1993-02-02,44.218700,44.375000,44.125000,44.343700,27.486790,201300
1993-02-03,44.406200,44.843700,44.375000,44.812500,27.777365,529400
1993-02-04,44.968700,45.093700,44.468700,45.000000,27.893591,531500
1993-02-05,44.968700,45.062500,44.718700,44.968700,27.874176,492100
1993-02-08,44.968700,45.125000,44.906200,44.968700,27.874176,596100
1993-02-09,44.812500,44.812500,44.562500,44.656200,27.680479,122100
1993-02-10,44.656200,44.750000,44.531200,44.718700,27.719221,379600
1993-02-11,44.781200,45.125000,44.781200,44.937500,27.854851,19500
1993-02-12,44.875000,44.875000,44.593700,44.593700,27.641737,42500
1993-02-16,44.468700,44.468700,43.406200,43.468700,26.944384,374800
1993-02-17,43.468700,43.531200,43.281200,43.437500,26.925049,210900
1993-02-18,43.937500,43.937500,42.812500,43.406200,26.905647,378100
1993-02-19,43.406200,43.562500,43.343700,43.562500,27.002533,34900
1993-02-22,43.687500,43.781200,43.562500,43.718700,27.099363,513600
1993-02-23,43.843700,43.875000,43.468700,43.687500,27.080038,373700
1993-02-24,43.718700,44.250000,43.718700,44.250000,27.428684,26300
1993-02-25,44.218700,44.375000,44.125000,44.343700,27.486790,44500
1993-02-26,44.437500,44.437500,44.187500,44.406200,27.525515,66200
1993-03-01,44.562500,44.562500,44.218700,44.281200,27.448027,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,27.854851,182400
1993-03-03,45.000000,45.156200,44.937500,45.125000,27.971056,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,27.816095,89500
1993-03-05,44.937500,45.125000,44.718700,44.750000,27.738615,40000
1993-03-08,44.843700,45.750000,44.843700,45.750000,28.358477,50800
1993-03-09,45.656200,45.687500,45.500000,45.593700,28.261606,169300
1993-03-10,45.593700,45.687500,45.406200,45.687500,28.319740,194400
1993-03-11,45.718700,45.843700,45.500000,45.562500,28.242256,70900
1993-03-12,45.187500,45.218700,44.812500,45.093700,27.951666,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,28.087299,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,28.087299,30800
1993-03-17,45.250000,45.250000,44.968700,45.031200,27.912928,21800
1993-03-18,45.218700,45.500000,45.218700,45.312500,28.087299,59300
1993-03-19,45.281200,45.281200,45.031200,45.031200,28.044744,66900
1993-03-22,44.593700,44.875000,44.562500,44.781200,27.889063,183400
1993-03-23,44.906200,44.937500,44.812500,44.875000,27.947491,55200
1993-03-24,44.812500,45.062500,44.593700,44.875000,27.947491,37200
1993-03-25,44.906200,45.250000,44.843700,45.156200,28.122601,110100
1993-03-26,45.125000,45.156200,44.875000,44.906200,27.966911,101500
1993-03-29,44.937500,45.312500,44.937500,45.093700,28.083685,87100
1993-03-30,45.156200,45.218700,45.093700,45.218700,28.161530,56000
1993-03-31,45.343700,45.468700,45.187500,45.187500,28.142109,111600
